depth,width,num_traces,total_nodes,avg_ancestry_size_per_span,total_ancestry_size,bloom_size,hash_size,mode_size
2,2,0,7,32.42857142857143,227,152,45,30
2,3,0,13,35.53846153846154,462,342,60,60
2,4,0,21,37.38095238095238,785,608,75,102
2,5,0,31,38.58064516129032,1196,950,90,156
2,6,0,43,39.41860465116279,1695,1368,105,222
2,7,0,57,40.03508771929825,2282,1862,120,300
2,8,0,73,40.50684931506849,2957,2432,135,390
2,9,0,91,40.879120879120876,3720,3078,150,492
2,10,0,111,41.18018018018018,4571,3800,165,606
3,2,0,15,31.4,471,312,105,54
3,3,0,40,35.4,1416,1053,195,168
3,4,0,85,37.65882352941176,3201,2496,315,390
3,5,0,156,39.07692307692308,6096,4875,465,756
3,6,0,259,40.04247104247104,10371,8424,645,1302
3,7,0,400,40.74,16296,13377,855,2064
3,8,0,585,41.266666666666666,24141,19968,1095,3078
3,9,0,820,41.678048780487806,34176,28431,1365,4380
3,10,0,1111,42.00810081008101,46671,39000,1665,6006
4,2,0,31,40.74193548387097,1263,888,225,150
4,3,0,121,43.16528925619835,5223,3969,600,654
4,4,0,341,43.733137829912025,14913,11712,1275,1926
4,5,0,781,43.816901408450704,34221,27375,2340,4506
4,6,0,1555,43.757556270096465,68043,55080,3885,9078
4,7,0,2801,43.65690824705462,122283,99813,6000,16470
4,8,0,4681,43.54902798547319,203853,167424,8775,27654
4,9,0,7381,43.445739059748,320673,264627,12300,43746
4,10,0,11111,43.35082350823508,481671,399000,16665,66006
5,2,0,63,35.53968253968254,2239,1528,465,246
5,3,0,364,37.714285714285715,13728,10287,1815,1626
5,4,0,1365,38.86959706959707,53057,41408,5115,6534
5,5,0,3906,39.64311315924219,154846,123625,11715,19506
5,6,0,9331,40.2095166648805,375195,303912,23325,47958
5,7,0,19608,40.64483884128927,796964,652043,42015,102906
5,8,0,37449,40.990493738150555,1535053,1265152,70215,199686
5,9,0,66430,41.271744693662505,2741682,2272293,110715,358674
5,10,0,111111,41.50508050508051,4611671,3839000,166665,606006
6,2,0,127,33.0,4191,2808,945,438
6,3,0,1093,36.126258005489476,39486,29484,5460,4542
6,4,0,5461,38.0298480131844,207681,162240,20475,24966
6,5,0,19531,39.28861809431161,767346,614250,58590,94506
6,6,0,55987,40.17380820547627,2249211,1828008,139965,281238
6,7,0,137257,40.82681393298702,5603766,4601688,294120,707958
6,8,0,299593,41.326936877697406,12381261,10243584,561735,1575942
6,9,0,597871,41.72155197358627,24944106,20754630,996450,3193026
6,10,0,1111111,42.04050810405081,46711671,39039000,1666665,6006006
7,2,0,255,41.28235294117647,10527,7416,1905,1206
7,3,0,3280,43.3765243902439,142275,108216,16395,17664
7,4,0,21845,43.820050354772256,957249,752064,81915,123270
7,5,0,97656,43.85773531580241,4282971,3426750,292965,563256
7,6,0,335923,43.778970180666406,14706363,11905704,839805,1960854
7,7,0,960800,43.669137177352205,41957307,34249236,2058855,5649216
7,8,0,2396745,43.55649224260403,104393805,85741056,4493895,14158854
7,9,0,5380840,43.45054285204541,233800419,192941514,8968065,31890840
7,10,0,11111111,43.35405082354051,481711671,399039000,16666665,66006006
8,2,0,511,35.88062622309198,18335,12536,3825,1974
8,3,0,9841,37.7918910679809,371910,278802,49200,43908
8,4,0,87381,38.89249379155652,3398465,2652608,327675,418182
8,5,0,488281,39.651544909590996,19361096,15458000,1464840,2438256
8,6,0,2015539,40.21316134294598,81051195,65653416,5038845,10358934
8,7,0,6725601,40.646611358598285,273372890,223664126,14412000,35296764
8,8,0,19173961,40.99143651121435,785968205,647777792,35951175,102239238
8,9,0,48427561,41.27228253349369,1998715980,1656530028,80712600,261473352
8,10,0,111111111,41.505405080505405,4611711671,3839039000,166666665,606006006
9,2,0,1023,33.18768328445748,33951,22776,7665,3510
9,3,0,29524,36.15282482048503,1067376,797121,147615,122640
9,4,0,349525,38.035622630713114,13294401,10385856,1310715,1597830
9,5,0,2441406,39.29030894492764,95923596,76786125,7324215,11813256
9,6,0,12093235,40.1744157787391,485838651,394858152,30233085,60747414
9,7,0,47079208,40.82706692941819,1922105976,1578392361,100884015,242829600
9,8,0,153391689,41.327054564214365,6339226701,5244734976,287609415,806882310
9,9,0,435848050,41.721611639652856,18184283076,15130153701,726413415,2327715960
9,10,0,1111111111,42.04054050810405,46711711671,39039039000,1666666665,6006006006
10,2,0,2047,41.34782608695652,84639,59640,15345,9654
10,3,0,88573,43.38431576213971,3842679,2922885,442860,476934
10,4,0,1398101,43.82140703711678,61266753,48134592,5242875,7889286
10,5,0,12207031,43.85806188253311,535376721,428348625,36621090,70407006
10,6,0,72559411,43.779069306392245,3176583483,2571640488,181398525,423544470
10,7,0,329554457,43.669172828088925,14391370539,11747501325,706188120,1937681094
10,8,0,1227133513,43.55650682078634,53449649229,43899440640,2300875335,7249333254
10,9,0,3922632451,43.450549441498005,170440535253,140654392137,6537720750,23248422366
10,10,0,11111111111,43.35405405082354,481711711671,399039039000,16666666665,66006006006
