range,min_bytes,max_bytes,Base / Service queues / ordinal-list EE/DEE,Base / Service queues / Lehmer-coded EE/DEE,Base / Endpoint-instance queues / ordinal-list EE/DEE,Base / Endpoint-instance queues / Lehmer-coded EE/DEE,Single-pop / Service queues / ordinal-list EE/DEE,Single-pop / Service queues / Lehmer-coded EE/DEE,Single-pop / Endpoint-instance queues / ordinal-list EE/DEE,Single-pop / Endpoint-instance queues / Lehmer-coded EE/DEE
0-15,0,15,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
16-23,16,23,26.107424757,26.155082115,26.109979465,26.157636823,25.796359695,25.844017053,26.012767794,26.060425152
24-31,24,31,20.106419378,20.176019144,20.100334397,20.169934544,19.614211564,19.683729682,19.845584314,19.915184080
32-47,32,47,12.619095180,12.607933594,12.540308996,12.527717445,12.468395648,12.512148073,11.994042937,12.012965555
48-63,48,63,38.645219487,38.706855630,37.768930648,37.846854579,37.213539215,37.255019262,33.956345040,34.011550538
64-95,64,95,1.207489395,1.125198118,2.176960212,2.107351290,3.035258887,2.988938401,7.293371661,7.285434364
96-127,96,127,0.470432898,0.441413538,0.659866242,0.611109322,1.126673103,1.053299268,0.761999999,0.661889864
128-191,128,191,0.411211061,0.383523613,0.362529683,0.320835599,0.708274065,0.643768073,0.119506991,0.042020290
192-255,192,255,0.145290999,0.133179028,0.101419156,0.089124815,0.023143837,0.011071545,0.005787772,0.002972480
256-383,256,383,0.114285788,0.107762813,0.075922820,0.070440271,0.006875506,0.004709575,0.002722961,0.005056002
384-511,384,511,0.058916234,0.058686173,0.032764815,0.032448148,0.002606596,0.001460106,0.003900737,0.000970606
512-767,512,767,0.049057183,0.045259077,0.028913677,0.028359699,0.002194546,0.001171671,0.002026292,0.000958015
768-1023,768,1023,0.021650920,0.019093160,0.014001676,0.011937231,0.001365487,0.000275081,0.000822573,0.000255242
1024-1535,1024,1535,0.019375491,0.018021450,0.012387434,0.011536627,0.000616930,0.000260583,0.000706970,0.000168635
1536-2047,1536,2047,0.007722116,0.006653076,0.005497429,0.005121625,0.000280423,0.000031285,0.000185804,0.000037390
2048-3071,2048,3071,0.007234142,0.006743879,0.004952990,0.004652346,0.000098053,0.000045783,0.000109498,0.000057229
3072-4095,3072,4095,0.003106015,0.002849247,0.001853460,0.001778681,0.000046928,0.000024418,0.000056085,0.000024418
4096-6143,4096,6143,0.002427278,0.002276956,0.001800810,0.001608520,0.000024799,0.000023273,0.000028233,0.000023273
6144-8191,6144,8191,0.001468881,0.001369302,0.000800826,0.000822192,0.000027088,0.000006867,0.000026707,0.000006867
8192-12287,8192,12287,0.001421571,0.001396009,0.000530323,0.000494460,0.000007631,0.000000000,0.000007631,0.000000000
12288-16383,12288,16383,0.000457070,0.000420062,0.000166728,0.000170924,0.000000000,0.000000000,0.000000000,0.000000000
16384-24575,16384,24575,0.000225864,0.000204499,0.000056848,0.000052269,0.000000000,0.000000000,0.000000000,0.000000000
24576-32767,24576,32767,0.000039679,0.000035864,0.000012590,0.000008012,0.000000000,0.000000000,0.000000000,0.000000000
32768-49151,32768,49151,0.000022129,0.000017932,0.000008394,0.000004197,0.000000000,0.000000000,0.000000000,0.000000000
49152-65535,49152,65535,0.000004960,0.000004197,0.000000382,0.000000382,0.000000000,0.000000000,0.000000000,0.000000000
65536-98303,65536,98303,0.000001145,0.000001145,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
98304-131071,98304,131071,0.000000382,0.000000382,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
131072+,131072,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
