range,min_bytes,max_bytes,Service queues / ordinal-list EE/DEE,Service queues / Lehmer-coded EE/DEE,Endpoint-instance queues / ordinal-list EE/DEE,Endpoint-instance queues / Lehmer-coded EE/DEE
0-15,0,15,0.000000000,0.000000000,0.000000000,0.000000000
16-23,16,23,26.107424757,26.155082115,26.109979465,26.157636823
24-31,24,31,20.106419378,20.176019144,20.100334397,20.169934544
32-47,32,47,12.619095180,12.607933594,12.540308996,12.527717445
48-63,48,63,38.645219487,38.706855630,37.768930648,37.846854579
64-95,64,95,1.207489395,1.125198118,2.176960212,2.107351290
96-127,96,127,0.470432898,0.441413538,0.659866242,0.611109322
128-191,128,191,0.411211061,0.383523613,0.362529683,0.320835599
192-255,192,255,0.145290999,0.133179028,0.101419156,0.089124815
256-383,256,383,0.114285788,0.107762813,0.075922820,0.070440271
384-511,384,511,0.058916234,0.058686173,0.032764815,0.032448148
512-767,512,767,0.049057183,0.045259077,0.028913677,0.028359699
768-1023,768,1023,0.021650920,0.019093160,0.014001676,0.011937231
1024-1535,1024,1535,0.019375491,0.018021450,0.012387434,0.011536627
1536-2047,1536,2047,0.007722116,0.006653076,0.005497429,0.005121625
2048-3071,2048,3071,0.007234142,0.006743879,0.004952990,0.004652346
3072-4095,3072,4095,0.003106015,0.002849247,0.001853460,0.001778681
4096-6143,4096,6143,0.002427278,0.002276956,0.001800810,0.001608520
6144-8191,6144,8191,0.001468881,0.001369302,0.000800826,0.000822192
8192-12287,8192,12287,0.001421571,0.001396009,0.000530323,0.000494460
12288-16383,12288,16383,0.000457070,0.000420062,0.000166728,0.000170924
16384-24575,16384,24575,0.000225864,0.000204499,0.000056848,0.000052269
24576-32767,24576,32767,0.000039679,0.000035864,0.000012590,0.000008012
32768-49151,32768,49151,0.000022129,0.000017932,0.000008394,0.000004197
49152-65535,49152,65535,0.000004960,0.000004197,0.000000382,0.000000382
65536-98303,65536,98303,0.000001145,0.000001145,0.000000000,0.000000000
98304-131071,98304,131071,0.000000382,0.000000382,0.000000000,0.000000000
131072+,131072,,0.000000000,0.000000000,0.000000000,0.000000000
