tid,survivors,spans,dropped,feasible,recon_ns
000000008ec640e7,3,5,2,1,91137
0000001744f6e2e6,4,4,0,0,35487
00000017f04bb3bb,2,3,1,1,61242
000000133f772c4e,11,13,2,1,157572
00000021bd08c582,4,4,0,0,103787
000000165cd97154,3,3,0,0,117883
0000001d52e8117a,3,4,1,1,137245
000000197abff9c5,4,5,1,1,137195
0000001cac3a6285,10,13,3,1,160680
0000002904b0f256,2,3,1,1,58890
00000035c18b5a8e,2,3,1,1,30964
0000003787dc00d9,3,3,0,0,42988
0000003a82a364b8,3,4,1,1,42324
00000040c74e2025,4,5,1,1,51412
00000045472b332e,2,3,1,1,46096
0000004cd14cf302,2,3,1,1,45440
0000004d2e2281a1,3,4,1,1,56372
000000514ee51cd8,3,4,1,1,41400
000000531953fb97,3,5,2,1,48414
000000570f8a0e7c,4,5,1,1,44803
000000575825761c,4,5,1,1,86213
000000625472c7e6,3,3,0,0,30790
000000672237e583,3,3,0,0,42622
000000748e0f9b9f,2,5,3,1,107287
0000006be9055780,4,4,0,0,762206
0000005152de00da,3,3,0,0,246474
00000067c3b5ae8e,11,18,7,1,1126772
0000008908ced95d,2,3,1,1,282000
000000944cb04b7b,5,5,0,0,361537
0000009df8766dcf,3,5,2,1,61948
000000a5b99649b8,4,5,1,1,76997
000000aed08cbee9,3,4,1,1,46410
000000bb9bbe2b8a,2,3,1,1,290711
000000bc0b3b6bb5,3,5,2,1,354616
000000bc2ec51d02,4,4,0,0,169546
000000baf26ab347,9,14,5,1,667075
000000ca719e4b6c,3,3,0,0,41563
000000d404654c42,2,3,1,1,689664
00000178065b05ed,67,95,28,1,1547015
0000017a0c8a9e0c,329,419,90,1,5711531
0000019f9ca7d3e8,24,35,11,1,1005739
000002571b21ab43,5,7,2,1,88946
00000193e0db0625,83,111,28,1,2390016
00000309e627d9e0,6,8,2,1,660777
0000026b62356a85,61,90,29,1,2331832
0000031fa7ddec43,60,82,22,1,1441674
000003862a806203,6,7,1,1,107774
00000386293f76fb,38,48,10,1,703231
000001ba5310d89a,408,545,137,1,8962582
000004a1fc4d7ccf,6,7,1,1,186837
00000170990eddcb,925,1233,308,1,20019988
0000060c16896db2,135,175,40,1,2253123
0000087c8dc7cdb6,36,54,18,1,757707
000007f5b3d8ff79,228,316,88,1,4068074
00000a138b820933,25,40,15,1,807402
00000af28a4f6fd6,10,13,3,1,171698
00000ccbc48b305f,124,167,43,1,5967854
00000aac7c9d6e87,595,750,155,1,15631910
00000e21f3b8f379,603,737,134,1,7692122
000009bdfc0a6987,966,1244,278,1,25584978
00000b6d8ac2cd6f,838,1092,254,1,22568948
00001567bd2b6163,6,9,3,1,123155
000015f42bdc0ad2,7,9,2,1,136118
000015abfc5129be,102,153,51,1,2249558
000013e7e942491e,96,123,27,1,3137610
00000e1fb9dd5825,1300,1717,417,1,25160975
00001b34d9ae4d10,51,63,12,1,1688572
000011c409ce8e93,1446,1958,512,1,29701181
000024424d96cc8e,5,7,2,1,123642
000024e6432a380e,16,18,2,1,212029
000025e337a60712,5,9,4,1,207746
00001a7df4352541,697,933,236,1,19562696
000020c2c7e07092,749,959,210,1,18384681
000034f9f383a23e,6,8,2,1,303269
00003a7a495b5aa4,6,11,5,1,340424
000033b6ade440e8,701,962,261,1,20072629
0000371c8dfb3d97,686,923,237,1,18977277
000048ab63f0d639,25,32,7,1,491673
00002b81a84f8af5,1978,2629,651,1,58140525
000052711082078b,10,13,3,1,274436
0000546dcf8e30a8,197,269,72,1,5872883
000051feb70e9993,692,886,194,1,20193196
000064761089866c,122,161,39,1,2085568
0000851aae278fc4,219,301,82,1,9348469
000061644179f148,490,678,188,1,12121383
00010f72d290ba96,6,9,3,1,246964
000070851bc6dfc1,701,996,295,1,21786326
00005bd09ce9a23e,707,931,224,1,23874166
0000d15f0bb00de2,541,734,193,1,15841778
0000a27550ca6786,750,1035,285,1,26633695
00011da3860f8851,382,546,164,1,10788119
0000ef0837d066df,991,1301,310,1,27799973
000174e3d30155f8,537,736,199,1,9968917
00019a12fbd7c32e,11,12,1,1,206822
0002497f0586b6c3,3,3,0,0,71084
000225251e116de7,20,34,14,1,488120
000313b3b404f011,38,49,11,1,527942
00027cb887895ef7,67,90,23,1,760933
00032d0ecd0aee8d,20,27,7,1,307316
0003d6aed0bfdf3f,14,17,3,1,168664
0002c17b826fcdd2,123,164,41,1,1870493
0002e19b102b5e9e,173,239,66,1,2420527
000092ea91537455,8599,10404,1805,1,201069938
0001be5cc7daf4cc,272,385,113,1,4332449
00037d35f3e3c1b1,386,473,87,1,3243375
00055d65cf33d663,62,87,25,1,2213978
000608c81ecbf64a,93,126,33,1,2301616
000673b861ab65fd,42,55,13,1,767285
000669468c8f6e00,3,3,0,0,90548
0001ea75935f02db,354,481,127,1,8951344
000269366619c224,413,563,150,1,11791615
0006b5f200134c91,199,263,64,1,5291124
00070708c1c6d71e,11,20,9,1,268286
0006ef2570d16d49,342,432,90,1,3799137
0001a505e911f7c4,1216,1580,364,1,18298229
00040ea02fc33cf8,1127,1590,463,1,18057134
0004713ac10290ad,1492,2035,543,1,29357102
0008bf32b6627cce,24,38,14,1,529095
0006dea1304392c5,980,1350,370,1,23445788
0009380f41be2761,87,112,25,1,1321837
00021f3df0862ebe,1735,2218,483,1,32947913
00074d81df4fccdb,885,1253,368,1,20719874
000f0bbab8b00fdf,101,135,34,1,2253089
001007c0c9ff2d90,19,29,10,1,311057
00101c7ac0ae1a41,92,132,40,1,939286
000683697f813e97,2020,2697,677,1,48327590
000c2eaeedfdb958,1252,1711,459,1,25778808
0005f15500372500,3150,4427,1277,1,69455580
00047eefc8193148,3570,4706,1136,1,84986210
00138043521f7276,2,3,1,1,82024
0013a8870b8716fb,40,52,12,1,615734
00156c2f6ccf3169,81,97,16,1,969411
0013293fa63fa33d,139,150,11,1,1070662
0016a13173d45a06,279,332,53,1,2830393
00204e7727399188,8,14,6,1,164611
001fe27ebf2611c3,12,16,4,1,287605
0025ab59f72c2695,35,45,10,1,245018
002cc4d12b7f56fb,81,110,29,1,806752
00261bc9b18559b3,284,315,31,1,1581363
001f2379c129b8d9,313,439,126,1,7398675
002ce0372e1490f2,299,332,33,1,9266514
0006ceb2a5be3725,6107,7854,1747,1,143025965
001e9ab7c6469a3f,822,1087,265,1,16088531
00234221c4e02e64,991,1306,315,1,17158169
0018e5ab2f9810f0,2805,3824,1019,1,68070223
003b0475cb7ae658,302,397,95,1,7840019
00004cf694ff31f5,13400,17557,4157,1,431227571
0047597b502d0385,2,3,1,1,85606
0045fa7c88bb656b,106,134,28,1,990148
003e47a6c317ec93,1285,1672,387,1,21179044
0010d11502e70f0b,5522,7177,1655,1,123077872
004b1a55b6542eb3,90,114,24,1,4145178
004a49d3d4fe95b6,234,297,63,1,4660113
004eee5f47f0b1cd,4,6,2,1,142398
00506cdd36b74579,47,63,16,1,886822
004ad50a2abcaeb2,1113,1419,306,1,16310795
0047bfb713201573,1139,1595,456,1,24977400
0060107301994443,9,12,3,1,180180
005fdbe8d2fd2f9b,20,28,8,1,374738
005d8272666fe795,318,375,57,1,6324516
002fec93ecedff2e,3564,4865,1301,1,78328622
001cbd5c1b413c40,4157,5951,1794,1,116325355
006c8dd52ad1e87c,155,192,37,1,1602565
00778f526eb3f990,188,197,9,1,1208557
00838941fac68c37,67,94,27,1,672643
008ae62541d9211b,6,7,1,1,139336
0095e0caac417e07,83,121,38,1,901749
0087e110ac944c46,213,316,103,1,1507233
008843f4e151ef32,277,329,52,1,4093935
0086fb869b6d9b9a,238,285,47,1,5058458
009a8a0387718706,268,323,55,1,5589538
0093be6127fc579b,429,577,148,1,10644293
009fb4a9fc92b6dd,1578,2199,621,1,32160253
00c1ea1133b2e2f0,45,64,19,1,608109
00a7641b201e974a,197,204,7,1,1049468
00c6b30f12ed6cf6,183,187,4,1,1147254
00d8c0971f50de30,43,64,21,1,718791
00a6084298b759c5,843,1093,250,1,15079776
00d90204d251904d,43,52,9,1,944341
