tid,survivors,spans,dropped,feasible,recon_ns
0000001744f6e2e6,4,4,0,0,109982
0000004d2e2281a1,3,4,1,1,124470
000000531953fb97,3,5,2,1,106890
000000672237e583,3,3,0,0,50709
000000575825761c,4,5,1,1,228724
000000944cb04b7b,5,5,0,0,576715
00000af28a4f6fd6,10,13,3,1,778498
00000b6d8ac2cd6f,838,1092,254,1,29328669
0000546dcf8e30a8,197,269,72,1,6712556
000269366619c224,413,563,150,1,17373041
000669468c8f6e00,3,3,0,0,96087
006c8dd52ad1e87c,155,192,37,1,5728412
00c0603d96162271,1064,1389,325,1,44033947
00d90204d251904d,43,52,9,1,943882
00e067d813e61cee,29,39,10,1,1460471
00f3dd5709851c71,121,166,45,1,3918144
00f4c0ae50d3a07d,297,329,32,1,7043244
0119a5ff349f7f2d,182,187,5,1,2943574
01414b36617a5c09,83,119,36,1,6156929
01e5ac10f25efc8b,326,373,47,1,8193196
01ed5474f3ce600e,593,839,246,1,22213194
00fc6e68b1e3855c,7075,9226,2151,1,346176548
025e0976b7fe77be,30,40,10,1,668738
02c0ca83b4a8ed23,1074,1315,241,1,29001465
02d7c295c43eb1dd,803,1081,278,1,31830937
03210f89fb821f59,304,353,49,1,8439290
03219abc5856d32d,1673,2091,418,1,57962706
035df23a046d37e1,986,1362,376,1,36996539
03872d9a41086d60,41,52,11,1,1405554
03e4bcfc64b72b70,41,51,10,1,938859
03f7db3d9bd7d429,122,168,46,1,3629645
0400281fae8157f3,1143,1446,303,1,45582696
042448c99c149aaa,3,6,3,1,143966
04c631698e9cbaf2,892,1137,245,1,32277498
04d9deec9ebddefa,1034,1348,314,1,37836488
042edeeecd37c036,3743,5184,1441,1,381706569
05d77c9b5b59ab31,1173,1569,396,1,36997417
05ec69f91a15d361,518,649,131,1,18051980
05f54bb2189d7f76,288,327,39,1,5885863
0621e3f743dacb1b,5,7,2,1,201609
0640565ee9de6b05,677,964,287,1,23691319
0680ea53ba287dad,311,367,56,1,8537207
068904d57fbdee97,471,541,70,1,11805845
069c2d0e3408cf06,3,7,4,1,148021
06913a8836dbd0c7,594,756,162,1,18693484
069d60e3f0d84aab,180,218,38,1,4653882
076684ed03918d80,91,120,29,1,2229558
076b5bbaf7fb3135,5,6,1,1,138550
0769e51998103ed5,911,1212,301,1,28307908
07d752f71c7abf18,188,195,7,1,2641131
0815b0f652851e90,160,184,24,1,5334875
080a03a90463b209,941,1221,280,1,33872317
08bd8c71aac13aaa,518,646,128,1,9703499
08cb2f11c537a2ac,272,293,21,1,4470475
08dd64f9a5bd4af1,1462,1855,393,1,52226617
090d081327b973bf,120,153,33,1,2669094
0909cbcc0f4f387d,233,279,46,1,12188600
091d6cd5aec98c69,1057,1505,448,1,38109910
093dcbffe2019b44,735,945,210,1,23002815
099ab42fb403c0d8,446,619,173,1,17121320
09c02e510afd5193,270,293,23,1,3390836
0985ea2f512e2722,3854,5109,1255,1,169123543
09e4adffec065c2b,843,1090,247,1,28280941
0a01d9efaa1901e4,26,31,5,1,1229958
0a00a469b50e9a5e,694,924,230,1,23843594
0a17a64c2264d02d,98,135,37,1,2645624
0a2301307089cff7,1172,1528,356,1,36754387
0a42cb19c28c3ed1,861,1163,302,1,26102098
0ac25a3f6f6423f3,720,938,218,1,23326969
0b270af67a643817,84,109,25,1,1705663
0b19bfbdad33bd2f,1082,1396,314,1,38965666
0bad6740cb346b11,1037,1350,313,1,30680801
0bc9820f5ea7e8bd,394,482,88,1,14778486
0be367c13e8d3466,228,238,10,1,2955932
0bd0db838174de34,791,948,157,1,25155797
0be5aba09c5ac7bf,771,1042,271,1,40760573
0bf8a02bb838c3d2,310,363,53,1,6777118
0c5b2dde20752771,951,1264,313,1,35121678
0c93ecfe6e18df1f,193,271,78,1,6490908
0d214d803e7351e2,83,113,30,1,3083426
0d6a6f9eb8e789fe,388,454,66,1,10860268
0d64882abcec8f9e,1206,1593,387,1,41223683
0dfc91b1a8423545,876,1131,255,1,27862999
0e1a3feec47d663b,16,25,9,1,507074
0e6b22afeee4c36f,1036,1352,316,1,31885063
0e169e64acab0f45,2922,3753,831,1,111222691
0e7f246cc69f2f8e,702,955,253,1,20223784
0f5438daafd81270,267,293,26,1,3498200
0eafc27b91fce294,4879,6936,2057,1,259842280
0fb772a76640c2ce,245,271,26,1,4217626
0fdfe43177d524a4,883,1092,209,1,25355754
104aaf697959426d,297,350,53,1,7839919
0fb972694acb700b,5394,6325,931,1,231006395
1110d21f660ded73,43,58,15,1,919113
117bc7db5e087173,200,221,21,1,3549389
123417e26b9e384d,436,514,78,1,10546960
1293ecab191c18f3,343,493,150,1,11437124
1321cb66c4a1fa38,98,129,31,1,2656723
132d34c57093be3a,167,217,50,1,8885879
1355dd6b031b9f0f,84,116,32,1,2266379
137627f655fa8d93,103,137,34,1,2166015
13b6b3266c0a250e,26,35,9,1,616788
13ef33bfb4db224d,949,1353,404,1,34247096
14327fbb39d86373,281,309,28,1,8713283
1441a99a53878259,600,818,218,1,22699085
14d07f4f9d10c991,322,389,67,1,6742533
14d6491ddeb0d4e7,405,476,71,1,7698226
14eb2277fed29c3c,61,79,18,1,1385641
151d6049f975c28f,277,321,44,1,7193370
11d6899c26fc4f8e,15618,19077,3459,1,851366998
1672dcf29253f103,59,91,32,1,1745943
16b08f48d4838761,269,308,39,1,4059711
16dc5c2b616581df,149,225,76,1,4586471
16f6de5a409f87eb,74,103,29,1,3779805
17f9d8d87a13093e,4,7,3,1,177341
17b30e155102604e,2873,3936,1063,1,114036491
1877abcee02d029c,238,314,76,1,8068089
17c6302346c9a638,3955,5282,1327,1,172355720
18bafee7d4c37a7e,509,621,112,1,10676603
199bb52cea57e7a6,3,3,0,0,182924
1a9ae9c8bd26c2d2,29,40,11,1,650293
1b206eb19fd169d4,339,400,61,1,9883542
1b48762dce3c1069,10,16,6,1,343463
1ba5546a2716a136,94,127,33,1,2092610
1c3f8bbe683cd5b2,583,740,157,1,14959184
1c497c912be889db,355,458,103,1,10932805
1c7b0203bd0e56b7,299,347,48,1,5351871
1c8f25aa91b88d1a,252,267,15,1,2856536
1cb8633b3954f602,1536,2035,499,1,51877734
1db58e43133f2e61,437,546,109,1,11931554
1de012296a70906d,286,348,62,1,9246578
1df12170873b87c6,452,551,99,1,10702609
1e18d3977b63a5c6,971,1201,230,1,27012564
1e8d72e9d441dfb4,3,3,0,0,112606
1f2cae56df06fac5,158,168,10,1,2289533
200b00603b303afb,2047,2600,553,1,58194821
205ac877335262b4,830,1087,257,1,24625710
