tid,survivors,spans,dropped,feasible,recon_ns
000000008ec640e7,3,5,2,1,63023
0000001744f6e2e6,4,4,0,0,45183
00000017f04bb3bb,2,3,1,1,56236
00000021bd08c582,4,4,0,0,41881
000000133f772c4e,11,13,2,1,104591
0000001d52e8117a,3,4,1,1,45954
000000197abff9c5,4,5,1,1,58199
000000165cd97154,3,3,0,0,75451
0000001cac3a6285,10,13,3,1,101774
0000002904b0f256,2,3,1,1,47686
00000035c18b5a8e,2,3,1,1,37077
0000003a82a364b8,3,4,1,1,53241
0000003787dc00d9,3,3,0,0,34734
00000040c74e2025,4,5,1,1,51102
00000045472b332e,2,3,1,1,49100
0000004cd14cf302,2,3,1,1,40417
0000004d2e2281a1,3,4,1,1,43378
000000514ee51cd8,3,4,1,1,32659
000000531953fb97,3,5,2,1,55891
000000570f8a0e7c,4,5,1,1,109224
000000575825761c,4,5,1,1,117305
000000625472c7e6,3,3,0,0,21380
000000672237e583,3,3,0,0,43967
00000067c3b5ae8e,11,18,7,1,224634
0000006be9055780,4,4,0,0,207533
000000748e0f9b9f,2,5,3,1,51948
0000005152de00da,3,3,0,0,47053
0000008908ced95d,2,3,1,1,34597
000000944cb04b7b,5,5,0,0,151114
0000009df8766dcf,3,5,2,1,55758
000000a5b99649b8,4,5,1,1,310346
000000aed08cbee9,3,4,1,1,144969
000000bb9bbe2b8a,2,3,1,1,78846
000000bc0b3b6bb5,3,5,2,1,350861
000000bc2ec51d02,4,4,0,0,413643
000000baf26ab347,9,14,5,1,930748
000000ca719e4b6c,3,3,0,0,43136
000000d404654c42,2,3,1,1,43504
00000178065b05ed,67,95,28,1,1312193
0000017a0c8a9e0c,329,419,90,1,6322109
000002571b21ab43,5,7,2,1,140870
0000019f9ca7d3e8,24,35,11,1,588993
0000026b62356a85,61,90,29,1,1360122
00000193e0db0625,83,111,28,1,4010787
00000309e627d9e0,6,8,2,1,125045
000001ba5310d89a,408,545,137,1,7832516
0000031fa7ddec43,60,82,22,1,1593190
000003862a806203,6,7,1,1,113998
00000386293f76fb,38,48,10,1,702761
000004a1fc4d7ccf,6,7,1,1,420018
00000170990eddcb,925,1233,308,1,24380126
0000060c16896db2,135,175,40,1,1104925
0000087c8dc7cdb6,36,54,18,1,443331
000007f5b3d8ff79,228,316,88,1,5972499
00000a138b820933,25,40,15,1,1029574
00000af28a4f6fd6,10,13,3,1,168708
00000ccbc48b305f,124,167,43,1,4695332
00000aac7c9d6e87,595,750,155,1,17888688
000009bdfc0a6987,966,1244,278,1,20202200
00000e21f3b8f379,603,737,134,1,11683168
00000b6d8ac2cd6f,838,1092,254,1,26886394
000015f42bdc0ad2,7,9,2,1,140872
00001567bd2b6163,6,9,3,1,250168
000013e7e942491e,96,123,27,1,3166073
000015abfc5129be,102,153,51,1,4186977
00000e1fb9dd5825,1300,1717,417,1,44865105
00001b34d9ae4d10,51,63,12,1,829353
000024424d96cc8e,5,7,2,1,129353
000024e6432a380e,16,18,2,1,1067841
000025e337a60712,5,9,4,1,244315
000011c409ce8e93,1446,1958,512,1,43787561
00001a7df4352541,697,933,236,1,25392699
000020c2c7e07092,749,959,210,1,17766093
000034f9f383a23e,6,8,2,1,149402
000033b6ade440e8,701,962,261,1,18101099
00003a7a495b5aa4,6,11,5,1,187419
0000371c8dfb3d97,686,923,237,1,18218795
000048ab63f0d639,25,32,7,1,472975
00002b81a84f8af5,1978,2629,651,1,66641149
000052711082078b,10,13,3,1,201272
0000546dcf8e30a8,197,269,72,1,5300557
000051feb70e9993,692,886,194,1,21354694
000064761089866c,122,161,39,1,2084559
0000851aae278fc4,219,301,82,1,7710595
000061644179f148,490,678,188,1,13803853
000070851bc6dfc1,701,996,295,1,20788844
00005bd09ce9a23e,707,931,224,1,22505677
00010f72d290ba96,6,9,3,1,253586
0000d15f0bb00de2,541,734,193,1,17664450
00011da3860f8851,382,546,164,1,9945799
0000a27550ca6786,750,1035,285,1,24267865
0000ef0837d066df,991,1301,310,1,36503381
000174e3d30155f8,537,736,199,1,15494925
00019a12fbd7c32e,11,12,1,1,1041379
0002497f0586b6c3,3,3,0,0,75745
000225251e116de7,20,34,14,1,636187
00027cb887895ef7,67,90,23,1,1738400
00032d0ecd0aee8d,20,27,7,1,371410
0002c17b826fcdd2,123,164,41,1,2248788
0003d6aed0bfdf3f,14,17,3,1,216922
0001be5cc7daf4cc,272,385,113,1,4310064
000313b3b404f011,38,49,11,1,607066
000269366619c224,413,563,150,1,7781956
0002e19b102b5e9e,173,239,66,1,4390296
0001ea75935f02db,354,481,127,1,9012131
00037d35f3e3c1b1,386,473,87,1,7414988
00055d65cf33d663,62,87,25,1,2123503
000669468c8f6e00,3,3,0,0,76338
000673b861ab65fd,42,55,13,1,1150099
000608c81ecbf64a,93,126,33,1,4781052
0006b5f200134c91,199,263,64,1,5593879
0006ef2570d16d49,342,432,90,1,11960126
00070708c1c6d71e,11,20,9,1,477700
000092ea91537455,8599,10404,1805,1,270237759
00040ea02fc33cf8,1127,1590,463,1,28113061
0001a505e911f7c4,1216,1580,364,1,36958940
0008bf32b6627cce,24,38,14,1,776514
0004713ac10290ad,1492,2035,543,1,34924112
0009380f41be2761,87,112,25,1,2686926
00021f3df0862ebe,1735,2218,483,1,45932264
0006dea1304392c5,980,1350,370,1,31408857
000f0bbab8b00fdf,101,135,34,1,1150943
001007c0c9ff2d90,19,29,10,1,312944
00101c7ac0ae1a41,92,132,40,1,1251455
00074d81df4fccdb,885,1253,368,1,30251484
000c2eaeedfdb958,1252,1711,459,1,29251922
000683697f813e97,2020,2697,677,1,64377806
0005f15500372500,3150,4427,1277,1,67332406
00047eefc8193148,3570,4706,1136,1,89965783
0013a8870b8716fb,40,52,12,1,1025948
00138043521f7276,2,3,1,1,1782325
00156c2f6ccf3169,81,97,16,1,803664
0013293fa63fa33d,139,150,11,1,1432614
0016a13173d45a06,279,332,53,1,5084190
00204e7727399188,8,14,6,1,177569
001fe27ebf2611c3,12,16,4,1,279612
0025ab59f72c2695,35,45,10,1,443836
002cc4d12b7f56fb,81,110,29,1,1397885
00261bc9b18559b3,284,315,31,1,1974866
0006ceb2a5be3725,6107,7854,1747,1,148659343
002ce0372e1490f2,299,332,33,1,2823314
001f2379c129b8d9,313,439,126,1,5003907
00234221c4e02e64,991,1306,315,1,20586691
001e9ab7c6469a3f,822,1087,265,1,21013743
0018e5ab2f9810f0,2805,3824,1019,1,75438682
0047597b502d0385,2,3,1,1,88103
003b0475cb7ae658,302,397,95,1,5211261
0045fa7c88bb656b,106,134,28,1,2117523
004b1a55b6542eb3,90,114,24,1,1255442
004eee5f47f0b1cd,4,6,2,1,109967
004a49d3d4fe95b6,234,297,63,1,5133592
00506cdd36b74579,47,63,16,1,741781
003e47a6c317ec93,1285,1672,387,1,26456524
0047bfb713201573,1139,1595,456,1,20730418
0060107301994443,9,12,3,1,242530
005fdbe8d2fd2f9b,20,28,8,1,337814
004ad50a2abcaeb2,1113,1419,306,1,22105208
005d8272666fe795,318,375,57,1,4072485
0010d11502e70f0b,5522,7177,1655,1,144569303
00004cf694ff31f5,13400,17557,4157,1,558040325
001cbd5c1b413c40,4157,5951,1794,1,112702585
006c8dd52ad1e87c,155,192,37,1,2659399
002fec93ecedff2e,3564,4865,1301,1,88303117
00778f526eb3f990,188,197,9,1,2093889
00838941fac68c37,67,94,27,1,1037775
008ae62541d9211b,6,7,1,1,198152
0095e0caac417e07,83,121,38,1,1388162
0086fb869b6d9b9a,238,285,47,1,2968509
0087e110ac944c46,213,316,103,1,3273101
009a8a0387718706,268,323,55,1,5288081
008843f4e151ef32,277,329,52,1,6374105
0093be6127fc579b,429,577,148,1,12361556
009fb4a9fc92b6dd,1578,2199,621,1,56489749
00c1ea1133b2e2f0,45,64,19,1,716381
00c6b30f12ed6cf6,183,187,4,1,1317432
00d8c0971f50de30,43,64,21,1,662996
00d90204d251904d,43,52,9,1,535383
00a7641b201e974a,197,204,7,1,2681884
00db90797beb41eb,279,327,48,1,2152617
00e05ba07e7c1dd7,28,38,10,1,478780
00e067d813e61cee,29,39,10,1,705277
00cd8b649c1d3647,799,1050,251,1,18933054
00d893b780c7344e,267,329,62,1,11834480
00e373bfd36e35ac,149,213,64,1,2504167
00a6084298b759c5,843,1093,250,1,22936110
00c0603d96162271,1064,1389,325,1,25266641
00d85de824f1deef,1054,1398,344,1,23939540
00c6264a44c71881,1035,1480,445,1,27166029
00b72f5cb0cce86d,1014,1321,307,1,36913753
00f042a27597b459,8,10,2,1,114233
00fa12c51d8d85ea,50,64,14,1,924345
00f3dd5709851c71,121,166,45,1,2435104
00f77bf14898c135,296,335,39,1,3088767
00f4c0ae50d3a07d,297,329,32,1,3673580
00f99c2ca2dc50ad,803,970,167,1,8037189
00fd1016be9ce820,754,985,231,1,10699145
00837723e6367364,5613,7050,1437,1,161806423
01139772c4db8653,185,189,4,1,1163937
01196a8bb49aec65,30,39,9,1,3843726
0115ea59a33731c3,63,100,37,1,3340640
013463f7bd6d5a2d,8,8,0,0,73123
0119a5ff349f7f2d,182,187,5,1,1126671
011055868b2bd48d,91,136,45,1,5016786
01373404210495bf,206,224,18,1,997079
013b25e677646b85,95,114,19,1,1129588
011e4cc56c7a4810,300,356,56,1,5333900
010f4b5df5973539,172,216,44,1,6206315
01414b36617a5c09,83,119,36,1,2382700
0141808a11599d5a,284,313,29,1,2754886
010c60d79f4191e9,1018,1268,250,1,19794997
01257410d987af69,982,1281,299,1,20021591
013529bb453f7984,975,1296,321,1,19106536
01454aa67fe0e924,639,908,269,1,12705981
00a020460b415ab5,7125,9259,2134,1,177772405
00e0f7c31547d01c,5506,7233,1727,1,123844160
01609d180e534022,12,14,2,1,200653
01615057f1ab0e47,105,143,38,1,1572606
016dbd7ed735250f,40,49,9,1,602660
01810e792fcaa403,89,120,31,1,2815614
01834cc02fd93cb2,41,58,17,1,1309973
016cc14ed846794f,211,229,18,1,4248990
016e230fbfb6ad29,581,718,137,1,14156805
0182a15f9215cf30,735,940,205,1,14323783
017324a3b2aeeeed,772,1025,253,1,20584608
0173f58ec2adb533,826,1082,256,1,27214338
017c8319dbe3065c,948,1221,273,1,25854537
019b6b063f02e324,183,247,64,1,2039195
00014a31eb82ff66,17130,22743,5613,1,754047598
018bfa845704c4c3,907,1177,270,1,15962882
01ab60dfaf3d7c12,6,8,2,1,155758
01ac8d311d27fb08,86,111,25,1,1231116
01a4b800896f41bb,81,104,23,1,1443339
01b0b43c4abd88af,161,219,58,1,2276804
01b8bd9209893a6f,7,11,4,1,178916
016b36a6fbb1f800,2561,3300,739,1,63436707
019cd80116f1aeda,1121,1440,319,1,24802302
01b7b038ac1172a0,388,468,80,1,8190989
015a71b62d1247f4,3993,5344,1351,1,101640824
01a1ab5ead8d6dfc,1339,1714,375,1,23847718
01a3b99d0b8d0540,1334,1631,297,1,26597272
01c795a22248e2db,292,345,53,1,3107540
00fc6e68b1e3855c,7075,9226,2151,1,177079714
01d79546f7f6ac1f,95,130,35,1,1380449
01dbec9e0db73ebe,47,57,10,1,525409
018a61bd43a4853f,2770,3932,1162,1,76018617
01d5641f07ef51a6,323,351,28,1,3936824
01e1f59bfef4904e,29,38,9,1,988054
01e5ac10f25efc8b,326,373,47,1,3779639
01df63527d4a89cb,738,961,223,1,16638808
01ef7bc42feecea4,34,41,7,1,366776
01f2b4220f063524,115,143,28,1,2254831
01f4a0fa6b522ec9,494,621,127,1,9015329
01f96ed95dcbb819,127,160,33,1,3930377
01fb958d3907fdac,277,327,50,1,2194122
02012f7fef433512,3,3,0,0,50100
01ed5474f3ce600e,593,839,246,1,13547959
01eab8aef53cb68e,1344,1733,389,1,22278060
0161364788d75f41,5029,7222,2193,1,153155937
020357bfad1b42ca,214,284,70,1,4683693
020703108b0cdc7a,404,483,79,1,4794975
0200eb7a2dd185d6,790,1037,247,1,19070561
02006681cc3161f7,898,1193,295,1,20777825
0222fbe8e0b0cb55,239,322,83,1,2564920
02188c73318e01fa,1303,1682,379,1,27644902
