tid,survivors,spans,dropped,feasible,recon_ns
000000008ec640e7,3,5,2,1,118511
0000001744f6e2e6,4,4,0,0,68874
0000001d52e8117a,3,4,1,1,64526
00000017f04bb3bb,2,3,1,1,70061
000000165cd97154,3,3,0,0,57339
00000021bd08c582,4,4,0,0,57038
000000133f772c4e,11,13,2,1,136751
000000197abff9c5,4,5,1,1,100516
0000001cac3a6285,10,13,3,1,155889
0000002904b0f256,2,3,1,1,33961
00000035c18b5a8e,2,3,1,1,32193
0000003a82a364b8,3,4,1,1,69634
0000003787dc00d9,3,3,0,0,33839
00000040c74e2025,4,5,1,1,66974
00000045472b332e,2,3,1,1,38754
0000004cd14cf302,2,3,1,1,35261
0000004d2e2281a1,3,4,1,1,77024
000000514ee51cd8,3,4,1,1,38495
000000531953fb97,3,5,2,1,42677
000000575825761c,4,5,1,1,90595
000000570f8a0e7c,4,5,1,1,88889
000000625472c7e6,3,3,0,0,29497
000000672237e583,3,3,0,0,129209
0000006be9055780,4,4,0,0,47073
0000005152de00da,3,3,0,0,31741
00000067c3b5ae8e,11,18,7,1,321547
000000748e0f9b9f,2,5,3,1,43515
0000008908ced95d,2,3,1,1,66679
000000944cb04b7b,5,5,0,0,133587
0000009df8766dcf,3,5,2,1,95844
000000a5b99649b8,4,5,1,1,109703
000000aed08cbee9,3,4,1,1,75367
000000bc0b3b6bb5,3,5,2,1,58028
000000bc2ec51d02,4,4,0,0,209398
000000bb9bbe2b8a,2,3,1,1,301299
000000baf26ab347,9,14,5,1,394276
000000ca719e4b6c,3,3,0,0,59904
000000d404654c42,2,3,1,1,38127
00000178065b05ed,67,95,28,1,3644927
000002571b21ab43,5,7,2,1,935663
0000019f9ca7d3e8,24,35,11,1,1648924
0000026b62356a85,61,90,29,1,2019760
00000193e0db0625,83,111,28,1,3752009
0000017a0c8a9e0c,329,419,90,1,9175762
00000309e627d9e0,6,8,2,1,133193
0000031fa7ddec43,60,82,22,1,1040390
000003862a806203,6,7,1,1,409278
00000386293f76fb,38,48,10,1,1150926
000001ba5310d89a,408,545,137,1,15995865
000004a1fc4d7ccf,6,7,1,1,118734
00000170990eddcb,925,1233,308,1,30284159
0000060c16896db2,135,175,40,1,2755231
0000087c8dc7cdb6,36,54,18,1,987672
000007f5b3d8ff79,228,316,88,1,7670986
00000a138b820933,25,40,15,1,1766893
00000af28a4f6fd6,10,13,3,1,179907
00000ccbc48b305f,124,167,43,1,3693812
00000aac7c9d6e87,595,750,155,1,31798844
00000e21f3b8f379,603,737,134,1,16454681
000009bdfc0a6987,966,1244,278,1,49356110
00000b6d8ac2cd6f,838,1092,254,1,42406843
000015f42bdc0ad2,7,9,2,1,812307
00001567bd2b6163,6,9,3,1,1126772
000013e7e942491e,96,123,27,1,4432963
000015abfc5129be,102,153,51,1,5731400
00001b34d9ae4d10,51,63,12,1,1544627
00000e1fb9dd5825,1300,1717,417,1,56105481
000024424d96cc8e,5,7,2,1,142047
000024e6432a380e,16,18,2,1,394571
000025e337a60712,5,9,4,1,141470
000011c409ce8e93,1446,1958,512,1,55326248
00001a7df4352541,697,933,236,1,39231542
000020c2c7e07092,749,959,210,1,39444465
000034f9f383a23e,6,8,2,1,202527
00003a7a495b5aa4,6,11,5,1,393077
000033b6ade440e8,701,962,261,1,28878406
0000371c8dfb3d97,686,923,237,1,25839060
000048ab63f0d639,25,32,7,1,548362
00002b81a84f8af5,1978,2629,651,1,72647052
000052711082078b,10,13,3,1,189258
0000546dcf8e30a8,197,269,72,1,6357355
000051feb70e9993,692,886,194,1,24487735
000064761089866c,122,161,39,1,8669013
0000851aae278fc4,219,301,82,1,9783755
000061644179f148,490,678,188,1,23344184
00005bd09ce9a23e,707,931,224,1,24473309
00010f72d290ba96,6,9,3,1,504394
000070851bc6dfc1,701,996,295,1,50967036
0000d15f0bb00de2,541,734,193,1,25876543
00011da3860f8851,382,546,164,1,8467587
000174e3d30155f8,537,736,199,1,17344174
0000a27550ca6786,750,1035,285,1,94691268
00019a12fbd7c32e,11,12,1,1,442690
0002497f0586b6c3,3,3,0,0,127984
000225251e116de7,20,34,14,1,2896276
00027cb887895ef7,67,90,23,1,3279917
0002c17b826fcdd2,123,164,41,1,6491738
000313b3b404f011,38,49,11,1,786954
00032d0ecd0aee8d,20,27,7,1,571296
0003d6aed0bfdf3f,14,17,3,1,233369
0002e19b102b5e9e,173,239,66,1,5896427
0001be5cc7daf4cc,272,385,113,1,14986518
0001ea75935f02db,354,481,127,1,11813886
00055d65cf33d663,62,87,25,1,4671140
00037d35f3e3c1b1,386,473,87,1,17497464
000608c81ecbf64a,93,126,33,1,3385069
000269366619c224,413,563,150,1,23397079
000669468c8f6e00,3,3,0,0,53932
000673b861ab65fd,42,55,13,1,1863092
0006b5f200134c91,199,263,64,1,8081934
0001a505e911f7c4,1216,1580,364,1,44545781
0006ef2570d16d49,342,432,90,1,19154284
00070708c1c6d71e,11,20,9,1,293006
0000ef0837d066df,991,1301,310,1,338549632
0004713ac10290ad,1492,2035,543,1,56570193
0008bf32b6627cce,24,38,14,1,307635
0009380f41be2761,87,112,25,1,934351
0006dea1304392c5,980,1350,370,1,50149762
000f0bbab8b00fdf,101,135,34,1,1649593
001007c0c9ff2d90,19,29,10,1,436415
00101c7ac0ae1a41,92,132,40,1,1835010
00074d81df4fccdb,885,1253,368,1,28876138
000683697f813e97,2020,2697,677,1,63703031
00021f3df0862ebe,1735,2218,483,1,108169172
00138043521f7276,2,3,1,1,109461
